,vid,title,time,realLikeCount,duration,auth,totcomment,comtext,comrealLikedCount,comauth
26,3xmzcx4j3p4m346,考试中我忘记“Superhero”是什么意思，于是我写下了“勒布朗詹姆斯” #詹姆斯 #NBA,2022-01-09 18:44:49,11177,222683.00,詹詹的brother,562,联盟还是那个联盟，人已物是人非，但老詹还是那个小詹快20年了没什么进步，让人无法理解。,15,还是那个奮鬥✔
27,3xmzcx4j3p4m346,考试中我忘记“Superhero”是什么意思，于是我写下了“勒布朗詹姆斯” #詹姆斯 #NBA,2022-01-09 18:44:49,11177,222683.00,詹詹的brother,562,就因为他太强大了所以好多人黑他，不过我还是挺喜欢他勒布朗詹姆斯,22,乔治
28,3xmzcx4j3p4m346,考试中我忘记“Superhero”是什么意思，于是我写下了“勒布朗詹姆斯” #詹姆斯 #NBA,2022-01-09 18:44:49,11177,222683.00,詹詹的brother,562,@零三年的風(O3xqwaep3her9rua) 你不投我不投老詹何时能出头[捂脸],3,谁说老狗只会跑
29,3xmzcx4j3p4m346,考试中我忘记“Superhero”是什么意思，于是我写下了“勒布朗詹姆斯” #詹姆斯 #NBA,2022-01-09 18:44:49,11177,222683.00,詹詹的brother,562,每次看到18年的詹姆斯，满满的意难平,12,可燃冰～
30,3xf8g9cu9mthfhm,#藏蓝青春 有福同享有难同当,2021-12-17 18:45:34,1034657,24200.00,竹溪公安,5912,致敬劳动者[爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心],6,User_1548157573432
31,3xf8g9cu9mthfhm,#藏蓝青春 有福同享有难同当,2021-12-17 18:45:34,1034657,24200.00,竹溪公安,5912,致敬劳动者[爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心],6,伍六七＠暗影刺客
32,3xf8g9cu9mthfhm,#藏蓝青春 有福同享有难同当,2021-12-17 18:45:34,1034657,24200.00,竹溪公安,5912,[爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心],9,许星兰
33,3xf8g9cu9mthfhm,#藏蓝青春 有福同享有难同当,2021-12-17 18:45:34,1034657,24200.00,竹溪公安,5912,[爱心][爱心][爱心][爱心][爱心][爱心][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰][玫瑰],5,程程
34,3xf8g9cu9mthfhm,#藏蓝青春 有福同享有难同当,2021-12-17 18:45:34,1034657,24200.00,竹溪公安,5912,[赞][赞][赞][赞],4,狼叫九天
35,3xf8g9cu9mthfhm,#藏蓝青春 有福同享有难同当,2021-12-17 18:45:34,1034657,24200.00,竹溪公安,5912,[赞][赞][赞][赞][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心],2,🌟星星落在裙边🌟
36,3xf8g9cu9mthfhm,#藏蓝青春 有福同享有难同当,2021-12-17 18:45:34,1034657,24200.00,竹溪公安,5912,[赞][赞][爱心][爱心][爱心][爱心][爱心][爱心][爱心][赞][赞],3,xiao铃🌹🌹
37,3xf8g9cu9mthfhm,#藏蓝青春 有福同享有难同当,2021-12-17 18:45:34,1034657,24200.00,竹溪公安,5912,致敬劳动者[爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心],5,愿者上钩
38,3xf8g9cu9mthfhm,#藏蓝青春 有福同享有难同当,2021-12-17 18:45:34,1034657,24200.00,竹溪公安,5912,致敬劳动者[爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心],5,森轩
39,3xf8g9cu9mthfhm,#藏蓝青春 有福同享有难同当,2021-12-17 18:45:34,1034657,24200.00,竹溪公安,5912,致敬劳动者[爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心],1,韩军612
40,3xn6wf5bzbj2b4s,#教你系围巾 #见证幸福中国 #我的假期穿搭 @神秘人(O3xu9iiv4866wbr6) @快手粉条(O3xhcy6vhfzcu3qe),2021-12-14 09:31:50,88924,92083.00,啊盼教你系围巾,1153,一看就会，一学就废[捂脸],4,冬去春来54733
