summary,duration,realLikeCount,totcomment,comrealLikedCount
count,11234,11234,11218,11234
mean,73085.51237315293,17190.411251557773,564.0180067748262,82.79088400249266
stddev,55984.16673779048,62962.52632094956,1207.1955627465845,1109.0787857533192
min,7600,2,1.0,"\"\"sourceName\"\":\"\"\"\""
max,764633,1167652,23389.0,99
